team,source_team,snapshot_date,source_url,previous_appearances,last_appearance,wins,draws,losses,best_result,qatar_2022,note
Ecuador,Ecuador,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,4,2022,5,2,6,Round of 16 2006,Group stage,"One prior knockout appearance."
Netherlands,Netherlands,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,11,2022,31,14,11,Runners-up 1974 1978 2010,Quarter-finals,"Three finals and two further semi-finals without title."
Japan,Japan,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,7,2022,7,6,12,Round of 16 2002 2010 2018 2022,Round of 16,"Never beyond first knockout round."
Sweden,Sweden,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,12,2018,19,13,19,Runners up 1958,DNQ,"Historic finalist; returned through play-offs."
Tunisia,Tunisia,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2022,3,5,10,Group stage 1978 1998 2002 2006 2018 2022,Group stage,"Never beyond group stage."
Belgium,Belgium,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,14,2022,21,10,20,Third place 2018,Group stage,"Best finish in 2018."
Egypt,Egypt,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,2018,0,2,5,Round of 16 1934,DNQ,"Best effort came in straight knockout format."
IR Iran,Iran,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2022,3,4,11,Group Stage 1978 1998 2006 2014 2018 2022,Group stage,"No knockout game yet."
New Zealand,New Zealand,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,2,2010,0,3,3,Group stage 1982 2010,DNQ,"Unbeaten but eliminated in 2010."
Spain,Spain,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,16,2022,31,17,19,Winners 2010,Round of 16,"2010 winners; three straight last-16-or-earlier exits since."
Cabo Verde,Cape Verde,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,First appearance,0,0,0,First appearance,DNQ,"First-time qualifier."
Saudi Arabia,Saudi Arabia,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2022,4,2,13,Round of 16 1994,Group stage,"Beat eventual champions Argentina in 2022 group stage."
Uruguay,Uruguay,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,14,2022,25,13,21,Winners 1930 1950,Group stage,"Two titles."
France,France,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,16,2022,39,14,20,Winners 1998 2018,Runners-up,"Four finals in last seven World Cups."
Senegal,Senegal,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,2022,5,3,4,Quarter-finals 2002,Round of 16,"Made it out of group in 2002 and 2022."
Iraq,Iraq,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,1986,0,0,3,Group stage,DNQ,"Second World Cup after 1986."
Norway,Norway,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,1998,2,3,3,Round of 16 1938 1998,DNQ,"First World Cup since 1998."
Argentina,Argentina,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,17,2022,47,17,24,Winners 1978 1986 2022,Winners,"Defending champions."
Algeria,Algeria,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,4,2014,3,3,7,Round of 16 2014,DNQ,"Best World Cup came in 2014."
Austria,Austria,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,7,1998,12,4,13,Third place 1954,DNQ,"Historic third and fourth place finishes."
Jordan,Jordan,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,First appearance,0,0,0,First appearance,DNQ,"First World Cup appearance."
Portugal,Portugal,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,8,2022,17,6,12,Fourth place 2006,Quarter-finals,"Semi-final in 2006 and quarter-final in 2022."
Congo DR,DR Congo,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,1974,0,0,3,Group stage,DNQ,"Previous appearance as Zaire in 1974."
Uzbekistan,Uzbekistan,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,First appearance,0,0,0,First appearance,DNQ,"First-time qualifier."
Colombia,Colombia,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2018,9,3,10,Quarter-finals 2014,DNQ,"Quarter-finalist in 2014."
England,England,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,16,2022,32,20,22,Winners 1966,Quarter-finals,"Only twice beyond quarter-finals since 1966."
Croatia,Croatia,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,2022,13,8,9,Runners-up 2018,Third place,"Two semi-finals and one final when beyond first round."
Ghana,Ghana,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,4,2022,5,3,7,Quarter-finals 2010,Group stage,"Twice out of group stage across recent appearances."
Panama,Panama,2026-05-30,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,2018,0,0,3,Group stage 2018,DNQ,"One previous appearance in 2018."
